Google_name,Bloverse_name
/Arts & Entertainment/Performing Arts/Opera,Entertainment
/Arts & Entertainment/TV & Video,Entertainment
/Arts & Entertainment/TV & Video/Online Video,Entertainment
/Arts & Entertainment/TV & Video/TV Commercials,Entertainment
/Arts & Entertainment/TV & Video/TV Shows & Programs,Entertainment
/Arts & Entertainment/Visual Art & Design,Entertainment
/Arts & Entertainment/Visual Art & Design/Architecture,Entertainment
/Arts & Entertainment/Visual Art & Design/Art Museums & Galleries,Entertainment
/Arts & Entertainment/Visual Art & Design/Design,Entertainment
/Arts & Entertainment/Visual Art & Design/Painting,Entertainment
/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,Entertainment
/Health,Health
/Health/Aging & Geriatrics,Health
/Health/Health Conditions,Health
/Health/Health Conditions/AIDS & HIV,Health
/Health/Health Conditions/Allergies,Health
/Health/Health Conditions/Arthritis,Health
/Health/Health Conditions/Cancer,Health
/Health/Health Conditions/Diabetes,Health
/Health/Health Conditions/Ear Nose & Throat,Health
/Health/Health Conditions/Eating Disorders,Health
/Health/Health Conditions/Endocrine Conditions,Health
/Health/Health Conditions/Genetic Disorders,Health
/Health/Health Conditions/Heart & Hypertension,Health
/Health/Health Conditions/Infectious Diseases,Health
/Health/Health Conditions/Neurological Conditions,Health
/Health/Health Conditions/Obesity,Health
/Health/Health Conditions/Pain Management,Health
/Health/Health Conditions/Respiratory Conditions,Health
/Health/Health Conditions/Skin Conditions,Health
/Health/Health Conditions/Sleep Disorders,/Health
/Health/Health Education & Medical Training,Health
/Health/Health Foundations & Medical Research,Health
/Health/Medical Devices & Equipment,Health
/Health/Medical Facilities & Services,Health
/Health/Medical Facilities & Services/Doctors' Offices,Health
/Health/Medical Facilities & Services/Hospitals & Treatment Centers,Health
/Health/Medical Facilities & Services/Medical Procedures,/Health
/Health/Medical Facilities & Services/Physical Therapy,Health
/Health/Men's Health,Health
/Health/Mental Health,/Health
/Health/Mental Health/Anxiety & Stress,Health
/Health/Mental Health/Depression,Health
/Health/Nursing,Health
/Health/Nursing/Assisted Living & Long Term Care,Health
/Health/Nutrition,Health
/Health/Nutrition/Special & Restricted Diets,Health
/Health/Nutrition/Vitamins & Supplements,Health
/Health/Oral & Dental Care,/Health
/Health/Pharmacy,Health
/Health/Pharmacy/Drugs & Medications,Health
/Health/Public Health,/Health
/Health/Public Health/Occupational Health & Safety,Health
/Health/Reproductive Health,Health
/Health/Substance Abuse,Health
/Health/Substance Abuse/Drug & Alcohol Testing,/Health
/Health/Substance Abuse/Drug & Alcohol Treatment,Health
/Health/Substance Abuse/Smoking & Smoking Cessation,Health
/Health/Substance Abuse/Steroids & Performance-Enhancing Drugs,Health
/Health/Vision Care,Health
/Health/Vision Care/Eyeglasses & Contacts,Health
/Health/Women's Health,Health
/Games,Gaming
/Games/Arcade & Coin-Op Games,Gaming
/Games/Board Games,Gaming
/Games/Board Games/Chess & Abstract Strategy Games,Gaming
/Games/Board Games/Miniatures & Wargaming,Gaming
/Games/Card Games,Gaming
/Games/Card Games/Collectible Card Games,Gaming
/Games/Card Games/Poker & Casino Games,Gaming
/Games/Computer & Video Games,Gaming
/Games/Computer & Video Games/Casual Games,Gaming
/Games/Computer & Video Games/Driving & Racing Games,Gaming
/Games/Computer & Video Games/Fighting Games,Gaming
/Games/Computer & Video Games/Music & Dance Games,Gaming
