Google_name,Bloverse_name
/Computers & Electronics/Computer Security/Hacking & Cracking,Technology
/Computers & Electronics/Consumer Electronics,Technology
/Computers & Electronics/Consumer Electronics/Audio Equipment,Technology
/Computers & Electronics/Consumer Electronics/Camera & Photo Equipment,Technology
/Computers & Electronics/Consumer Electronics/Car Electronics,Technology
/Computers & Electronics/Consumer Electronics/Drones & RC Aircraft,Technology
/Computers & Electronics/Consumer Electronics/Game Systems & Consoles,Technology
/Computers & Electronics/Consumer Electronics/GPS & Navigation,Technology
/Computers & Electronics/Consumer Electronics/TV & Video Equipment,Technology
/Computers & Electronics/Electronics & Electrical,Technology
/Computers & Electronics/Electronics & Electrical/Electronic Components,Technology
/Computers & Electronics/Electronics & Electrical/Power Supplies,Technology
/Computers & Electronics/Enterprise Technology,Technology
/Computers & Electronics/Enterprise Technology/Data Management,Technology
/Computers & Electronics/Networking,Technology
/Computers & Electronics/Networking/Data Formats & Protocols,Technology
/Computers & Electronics/Networking/Network Monitoring & Management,Technology
/Computers & Electronics/Networking/VPN & Remote Access,Technology
/Computers & Electronics/Programming,Technology
/Computers & Electronics/Programming/Java (Programming Language),Technology
/Computers & Electronics/Software,Technology
/Computers & Electronics/Software/Business & Productivity Software,Technology
/Computers & Electronics/Software/Device Drivers,Technology
/Computers & Electronics/Software/Internet Software,Technology
/Computers & Electronics/Software/Multimedia Software,Technology
/Computers & Electronics/Software/Operating Systems,Technology
/Computers & Electronics/Software/Software Utilities,Technology
